"island","archipelago","ka0","ka1","ka2","ka3","ka4","ka5","ka6","ka7","ka8","ka9","ka10","ka11","ka12","ka13","ka14","ka15","ka16","ka17","ka18","ka19","ka20","ka21","ka22","ka23","ka24","ka25","ka26","ka27","ka28","ka29","ka30","ka31","ka32","ka33","ka34","ka35"
"Rasshua","Kuriles",79.5915520000035,79.5915520000035,79.5915520000035,81.3472480000029,81.3472480000029,83.6881760000006,87.1995680000029,88.3700320000021,97.7337440000013,115.290703999999,132.262431999999,151.575087999994,166.205887999991,185.518543999987,327.729919999989,358.747215999982,395.616831999993,404.395311999996,403.224847999997,411.418095999995,419.611343999992,421.36703999999,420.781807999991,419.611343999992,417.855647999992,417.270415999992,414.929487999992,413.759023999994,412.588559999992,411.418095999995,394.446367999993,313.684351999982,198.978879999985,189.615167999988,184.348079999988,178.495759999987
"Raykoke","Kuriles",7.60801599999706,7.60801599999706,7.60801599999706,7.60801599999706,7.60801599999706,7.60801599999706,7.60801599999706,7.60801599999706,9.36371199999969,11.1194080000005,12.8751040000011,14.0455680000026,14.6308000000017,16.9717280000034,21.0683520000046,22.2388160000041,25.7502080000047,26.3354400000055,26.3354400000055,28.0911360000032,28.0911360000032,28.6763680000047,28.6763680000047,28.0911360000032,28.0911360000032,28.0911360000032,28.0911360000032,28.0911360000032,28.0911360000032,28.0911360000032,25.7502080000047,18.7274240000034,18.1421920000029,16.9717280000034,16.9717280000034,15.8012640000011
"Shiashkotan","Kuriles",145.722767999991,145.722767999991,145.722767999991,147.478463999992,147.478463999992,149.234159999995,149.819391999996,152.160319999997,159.768335999992,173.813903999988,183.17761599999,200.149343999993,214.780143999998,235.263263999995,331.826543999996,383.326959999987,434.82737599999,467.600367999988,462.918511999992,478.719775999991,497.447199999987,507.396143999987,500.373359999989,497.447199999987,495.691503999984,492.76534399999,489.25395199999,483.986863999992,481.060703999995,478.719775999991,431.901215999991,254.575919999996,249.894063999995,238.189423999996,235.263263999995,229.996175999995
"Shibotsu","Kuriles",67.3016799999974,67.3016799999974,67.3016799999974,71.3983039999969,71.3983039999969,74.3244639999977,79.006319999998,97.7337439999934,190.200400000009,10342.2199040001,12302.747104,13949.5899520001,14962.0413120001,16250.1369440001,17676.3473280001,18972.050976,20742.9630079999,21231.046496,21174.864224,21400.178544,21709.1810399999,21796.3806079999,21754.8291359999,21709.1810399999,21662.3624799999,21612.0325279999,21562.2878079999,21513.7135519999,21471.5768479999,21400.178544,20649.3258880001,17338.6684640001,16928.4208320001,16538.6563200001,16159.4259840001,15877.3441600001
"Shikotan","Kuriles",287.934143999999,287.934143999999,287.934143999999,290.860303999996,290.860303999996,290.860303999996,293.201231999992,299.638783999989,317.780975999987,344.701647999992,12302.747104,13949.5899520001,14962.0413120001,16250.1369440001,17676.3473280001,18972.050976,20742.9630079999,21231.046496,21174.864224,21400.178544,21709.1810399999,21796.3806079999,21754.8291359999,21709.1810399999,21662.3624799999,21612.0325279999,21562.2878079999,21513.7135519999,21471.5768479999,21400.178544,20649.3258880001,17338.6684640001,16928.4208320001,16538.6563200001,16159.4259840001,15877.3441600001
"Shimushir","Kuriles",414.929487999994,414.929487999994,414.929487999994,419.026111999994,419.026111999994,423.122735999993,423.707967999993,434.827375999985,455.895727999983,486.327791999986,522.026943999984,557.140863999999,576.453519999997,614.49359999999,665.40878399999,719.250127999988,784.21087999998,811.716783999976,808.205391999975,819.324799999974,844.489775999987,849.756863999987,846.830703999987,844.489775999987,840.978383999988,837.466991999986,829.27374399998,827.518047999978,821.665727999975,819.324799999974,781.869951999978,655.45983999999,641.414271999989,627.368703999991,612.737903999993,604.544655999993
"Shumshu","Kuriles",2538.73641600001,2538.73641600001,2538.73641600001,2551.61152000002,2551.61152000002,2566.24232000002,2578.53219200002,2618.91320000002,2793.897568,8786.67324800003,10789.922384,12516.356784,13392.449088,14402.5595200001,16083.3458239999,17851.916928,18879.58432,19296.854736,19236.57584,19534.458928,19866.285472,20089.8440959999,20014.9343999999,19866.285472,19809.5179679999,19749.239072,19681.35216,19636.8745280001,19587.129808,19534.458928,18804.674624,15776.684256,15122.39488,14681.715184,14303.0700800001,13939.055776
"Taraku","Kuriles",8.77848000000259,8.77848000000259,8.77848000000259,11.1194080000017,11.1194080000017,14.6307999999962,15.8012639999962,21.6535839999977,70.8130720000113,10342.2199040001,12302.747104,13949.5899520001,14962.0413120001,16250.1369440001,17676.3473280001,18972.050976,20742.9630079999,21231.046496,21174.864224,21400.178544,21709.1810399999,21796.3806079999,21754.8291359999,21709.1810399999,21662.3624799999,21612.0325279999,21562.2878079999,21513.7135519999,21471.5768479999,21400.178544,20649.3258880001,17338.6684640001,16928.4208320001,16538.6563200001,16159.4259840001,15877.3441600001
"Urup","Kuriles",1554.37619200003,1554.37619200003,1554.37619200003,1559.64328000003,1559.64328000003,1568.42176000004,1581.88209600004,1598.85382400004,1667.91120000004,1785.54283200004,2015.53900800005,2171.79595200005,2260.16598400007,2343.85416000007,2614.81657600007,2771.07352000007,3278.46966400004,3364.49876800005,3357.47598400005,3394.34560000006,3471.59622400008,3486.22702400007,3477.44854400007,3471.59622400008,3463.40297600007,3451.11310400007,3436.48230400007,3424.77766400007,3407.80593600006,3394.34560000006,3259.15700800004,2587.89590400007,2497.18494400007,2429.29803200006,2333.90521600007,2306.98454400007
"Ushishir","Kuriles",9.94894399999973,9.94894399999973,9.94894399999973,9.94894399999973,9.94894399999973,9.94894399999973,9.94894399999973,11.1194079999995,12.2898720000009,15.2160319999994,33.3582239999959,52.6708799999963,67.3016800000005,82.5177120000006,327.729919999989,358.747215999982,395.616831999993,404.395311999996,403.224847999997,411.418095999995,419.611343999992,421.36703999999,420.781807999991,419.611343999992,417.855647999992,417.270415999992,414.929487999992,413.759023999994,412.588559999992,411.418095999995,394.446367999993,313.684351999982,97.148511999998,94.2223519999988,80.1767839999989,77.2506239999977
"Bugio","Madeira",4.38530400000067,4.38530400000067,4.38530400000067,4.38530400000067,4.38530400000067,4.38530400000067,5.11618800000057,5.11618800000057,5.84707200000035,10.9632599999985,16.0794479999978,50.430995999997,62.8560239999948,77.4737039999963,100.131107999999,130.828235999998,156.409175999999,163.718015999998,163.718015999998,168.103319999997,1348.48098,1357.982472,1353.597168,1348.48098,1344.82656000001,1341.17214,176.143043999999,173.219507999998,169.565087999997,168.103319999997,153.485639999999,91.3604999999987,86.9751959999984,80.3972399999944,76.0119359999972,72.3575159999961
"Deserta Grande","Madeira",9.50149200000043,9.50149200000043,9.50149200000043,9.50149200000043,9.50149200000043,9.50149200000043,9.50149200000043,16.8103319999992,18.2720999999991,20.4647519999993,24.8500559999998,50.430995999997,62.8560239999948,77.4737039999963,100.131107999999,130.828235999998,156.409175999999,163.718015999998,163.718015999998,168.103319999997,1348.48098,1357.982472,1353.597168,1348.48098,1344.82656000001,1341.17214,176.143043999999,173.219507999998,169.565087999997,168.103319999997,153.485639999999,91.3604999999987,86.9751959999984,80.3972399999944,76.0119359999972,72.3575159999961
"Madeira","Madeira",789.354719999998,789.354719999998,789.354719999998,790.085603999997,790.085603999997,791.547371999998,793.009139999998,794.470907999998,803.241516,826.629804,863.174004000004,900.449088000005,927.491796000007,958.919808000008,1021.04494800001,1062.70533600001,1124.09959200001,1140.90992400001,1137.98638800001,1153.33495200001,1348.48098,1357.982472,1353.597168,1348.48098,1344.82656000001,1341.17214,1163.56732800001,1159.91290800001,1156.25848800001,1153.33495200001,1120.44517200001,1009.35080400001,997.65666000001,972.806604000009,955.265388000008,941.378592000007
"Porto Santo","Madeira",51.1618800000027,51.1618800000027,51.1618800000027,51.8927640000028,51.8927640000028,53.3545320000031,53.3545320000031,53.3545320000031,59.2016040000028,70.8957480000035,92.0913839999996,152.023872000002,181.259232,192.953375999999,203.916635999999,212.687243999999,222.188735999999,222.919619999999,222.919619999999,224.381387999999,227.304923999999,228.035807999998,228.035807999998,227.304923999999,226.574039999999,226.574039999999,226.574039999999,225.843155999999,225.112271999999,224.381387999999,221.457851999998,201.723983999999,197.338679999999,195.146027999999,192.953375999999,187.837188
"Selvages","Madeira",3.654420000001,3.654420000001,3.654420000001,3.654420000001,3.654420000001,3.654420000001,3.654420000001,3.654420000001,5.11618800000179,8.77060800000253,10.9632600000027,17.5412160000008,22.6574040000004,27.7735920000013,31.4280120000022,35.8133160000022,38.0059680000027,39.4677360000031,39.4677360000031,40.9295040000037,41.6603880000036,41.6603880000036,41.6603880000036,41.6603880000036,41.6603880000036,41.6603880000036,41.6603880000036,40.9295040000037,40.9295040000037,40.9295040000037,38.0059680000027,31.4280120000022,30.6971280000018,29.9662440000018,27.0427080000007,24.8500560000005
"Agrihan","Marianas",47.5936399999936,47.5936399999936,47.5936399999936,47.5936399999936,47.5936399999936,47.5936399999936,47.5936399999936,47.5936399999936,48.4142199999938,51.6965399999934,52.5171199999931,54.9788599999893,55.7994399999893,56.6200199999891,56.6200199999891,59.9023399999895,62.3640799999893,63.1846599999891,63.1846599999891,64.0052399999891,65.6463999999893,65.6463999999893,65.6463999999893,65.6463999999893,65.6463999999893,65.6463999999893,64.8258199999893,64.8258199999893,64.8258199999893,64.0052399999891,61.5434999999891,56.6200199999891,56.6200199999891,56.6200199999891,55.7994399999893,55.7994399999893
"Aguijan","Marianas",7.38522000000302,7.38522000000302,7.38522000000302,7.38522000000302,7.38522000000302,8.20580000000494,8.20580000000494,8.20580000000494,9.02638000000494,11.4881200000069,11.4881200000069,13.1292800000067,14.7704400000071,14.7704400000071,18.8733400000069,20.5145000000069,22.1556600000067,22.1556600000067,22.1556600000067,22.1556600000067,22.9762400000082,22.9762400000082,22.9762400000082,22.9762400000082,22.9762400000082,22.9762400000082,22.1556600000067,22.1556600000067,22.1556600000067,22.1556600000067,22.1556600000067,16.4116000000075,15.5910200000073,15.5910200000073,14.7704400000071,14.7704400000071
"Alamagan","Marianas",16.411600000001,16.411600000001,16.411600000001,17.2321800000012,17.2321800000012,17.2321800000012,17.2321800000012,17.2321800000012,18.052760000001,18.873340000001,19.693920000001,20.514500000001,20.514500000001,20.514500000001,21.3350800000008,23.7968200000004,25.4379800000006,26.2585600000004,25.4379800000006,26.2585600000004,26.2585600000004,26.2585600000004,26.2585600000004,26.2585600000004,26.2585600000004,26.2585600000004,26.2585600000004,26.2585600000004,26.2585600000004,26.2585600000004,25.4379800000006,21.3350800000008,21.3350800000008,21.3350800000008,20.514500000001,20.514500000001
"Anatahan","Marianas",30.3614600000085,30.3614600000085,30.3614600000085,30.3614600000085,30.3614600000085,30.3614600000085,30.3614600000085,30.3614600000085,30.3614600000085,30.3614600000085,30.3614600000085,31.1820400000083,32.0026200000085,32.8232000000083,38.567260000009,38.567260000009,38.567260000009,38.567260000009,38.567260000009,39.3878400000088,39.3878400000088,40.2084200000086,40.2084200000086,39.3878400000088,39.3878400000088,39.3878400000088,39.3878400000088,39.3878400000088,39.3878400000088,39.3878400000088,38.567260000009,36.9261000000094,36.1055200000079,32.8232000000083,32.8232000000083,32.8232000000083
"Asuncion","Marianas",11.4881200000026,11.4881200000026,11.4881200000026,11.4881200000026,11.4881200000026,13.1292800000026,13.9498600000047,13.9498600000047,13.9498600000047,14.7704400000047,14.7704400000047,15.5910200000043,16.4116000000043,16.4116000000043,16.4116000000043,17.2321800000065,18.0527600000065,18.0527600000065,18.0527600000065,18.0527600000065,18.0527600000065,18.0527600000065,18.0527600000065,18.0527600000065,18.0527600000065,18.0527600000065,18.0527600000065,18.0527600000065,18.0527600000065,18.0527600000065,18.0527600000065,16.4116000000043,16.4116000000043,16.4116000000043,16.4116000000043,16.4116000000043
"Farallon De Medinilla","Marianas",1.64116000000021,1.64116000000021,1.64116000000021,1.64116000000021,1.64116000000021,1.64116000000021,1.64116000000021,1.64116000000021,1.64116000000021,2.46174000000041,2.46174000000041,4.10290000000021,4.10290000000021,4.92348,5.74405999999979,6.56463999999959,7.38521999999979,7.38521999999979,7.38521999999979,45.1318999999994,66.4669799999951,68.9287199999951,66.4669799999951,66.4669799999951,64.8258199999947,61.5434999999949,60.7229199999949,48.414219999999,45.9524799999992,45.1318999999994,7.38521999999979,5.74405999999979,4.92348,4.92348,4.92348,4.10290000000021
"Guam","Marianas",574.405999999972,574.405999999972,574.405999999972,575.226579999972,575.226579999972,575.226579999972,576.867739999973,578.508899999973,591.638179999971,612.973259999971,629.38485999997,644.155299999972,652.361099999974,661.387479999973,676.157919999978,681.901979999979,690.107779999981,698.313579999981,696.672419999981,701.595899999981,706.519379999983,708.981119999979,707.339959999981,706.519379999983,706.519379999983,705.698799999983,705.698799999983,705.698799999983,702.416479999982,701.595899999981,689.287199999981,673.696179999978,669.593279999977,666.310959999975,661.387479999973,655.643419999973
"Guguan","Marianas",6.56464000000406,6.56464000000406,6.56464000000406,6.56464000000406,6.56464000000406,6.56464000000406,6.56464000000406,6.56464000000406,6.56464000000406,6.56464000000406,7.38522000000385,7.38522000000385,9.02638000000536,9.84696000000557,9.84696000000557,10.6675400000056,10.6675400000056,10.6675400000056,10.6675400000056,10.6675400000056,10.6675400000056,10.6675400000056,10.6675400000056,10.6675400000056,10.6675400000056,10.6675400000056,10.6675400000056,10.6675400000056,10.6675400000056,10.6675400000056,10.6675400000056,9.84696000000557,9.84696000000557,9.84696000000557,9.84696000000557,9.84696000000557
"Pagan","Marianas",55.7994400000159,55.7994400000159,55.7994400000159,55.7994400000159,55.7994400000159,55.7994400000159,55.7994400000159,56.6200200000157,57.4406000000176,58.2611800000174,64.8258200000195,66.4669800000193,68.1081400000228,72.2110400000225,76.3139400000247,78.7756800000281,80.4168400000281,81.2374200000281,81.2374200000281,81.2374200000281,82.0580000000283,82.0580000000283,82.0580000000283,82.0580000000283,82.0580000000283,82.0580000000283,81.2374200000281,81.2374200000281,81.2374200000281,81.2374200000281,80.4168400000281,75.4933600000247,73.8522000000247,72.2110400000225,71.3904600000228,70.5698800000226
"Rota","Marianas",91.0843799999892,91.0843799999892,91.0843799999892,91.9049599999894,91.9049599999894,91.9049599999894,92.7255399999894,94.3666999999875,99.2901799999877,100.931339999988,103.393079999988,108.316559999986,110.778299999987,115.701779999986,117.342939999986,121.445839999986,125.548739999986,126.369319999985,126.369319999985,127.189899999983,127.189899999983,127.189899999983,127.189899999983,127.189899999983,127.189899999983,127.189899999983,127.189899999983,127.189899999983,127.189899999983,127.189899999983,125.548739999986,116.522359999986,116.522359999986,116.522359999986,115.701779999986,114.060619999986
"Saipan","Marianas",128.83106000001,128.83106000001,128.83106000001,130.472220000009,130.472220000009,132.933960000009,137.036860000009,146.063240000003,164.115999999999,178.886439999999,195.298039999994,205.965579999994,211.709639999995,214.991959999998,218.274279999999,222.377179999998,248.635739999999,257.662119999998,257.662119999998,259.303279999998,261.765019999997,262.585599999997,262.585599999997,261.765019999997,260.944439999997,260.944439999997,260.123859999998,260.123859999998,259.303279999998,259.303279999998,248.635739999999,216.633119999999,215.812539999998,214.991959999998,214.991959999998,214.171379999996
"Sarigan","Marianas",5.74405999999979,5.74405999999979,5.74405999999979,5.74405999999979,5.74405999999979,5.74405999999979,5.74405999999979,5.74405999999979,5.74405999999979,5.74405999999979,5.74405999999979,5.74405999999979,5.74405999999979,5.74405999999979,6.56464,8.20579999999979,8.20579999999979,9.02637999999959,8.20579999999979,9.02637999999959,9.02637999999959,9.02637999999959,9.02637999999959,9.02637999999959,9.02637999999959,9.02637999999959,9.02637999999959,9.02637999999959,9.02637999999959,9.02637999999959,8.20579999999979,6.56464,6.56464,6.56464,5.74405999999979,5.74405999999979
"Tinian","Marianas",103.393080000013,103.393080000013,103.393080000013,103.393080000013,103.393080000013,103.393080000013,104.213660000013,105.034240000013,109.137140000014,116.522360000016,121.445840000016,125.548740000015,128.010480000014,130.472220000012,134.575120000012,141.139760000008,143.601500000008,144.422080000008,144.422080000008,145.242660000008,146.883820000008,146.883820000008,146.883820000008,146.883820000008,146.883820000008,146.883820000008,146.883820000008,146.883820000008,146.063240000008,145.242660000008,143.601500000008,133.754540000013,132.933960000012,132.113380000012,130.472220000012,128.831060000014
