"curve","year","ind","values","area_km","area_km_e","archipelago"
-12,-1e+05,"AP0000045",6004134386.20876,6004.13438620876,225180.596337799,"Seychelles_Inner"
-10,-101000,"AP0000057",5558309915.52825,5558.30991552825,225180.596337799,"Seychelles_Inner"
-10,-102000,"AP0000057",5558309915.52825,5558.30991552825,225180.596337799,"Seychelles_Inner"
-9,-103000,"AP0000058",5347104506.64026,5347.10450664026,225180.596337799,"Seychelles_Inner"
-8,-104000,"AP0000059",5104832607.93737,5104.83260793737,225180.596337799,"Seychelles_Inner"
-10,-105000,"AP0000057",5558309915.52825,5558.30991552825,225180.596337799,"Seychelles_Inner"
-16,-106000,"AP0000056",6986907073.21669,6986.90707321669,225180.596337799,"Seychelles_Inner"
-26,-107000,"AP0000047",11151961800.3246,11151.9618003246,225180.596337799,"Seychelles_Inner"
-31,-108000,"AP0000060",14062276211.9419,14062.2762119419,225180.596337799,"Seychelles_Inner"
-33,-109000,"AP0000061",15606815754.3999,15606.8157543999,225180.596337799,"Seychelles_Inner"
-33,-110000,"AP0000061",15606815754.3999,15606.8157543999,225180.596337799,"Seychelles_Inner"
-32,-111000,"AP0000062",14838053400.6317,14838.0534006317,225180.596337799,"Seychelles_Inner"
-32,-112000,"AP0000062",14838053400.6317,14838.0534006317,225180.596337799,"Seychelles_Inner"
-27,-113000,"AP0000063",11665142247.7807,11665.1422477807,225180.596337799,"Seychelles_Inner"
-16,-114000,"AP0000056",6986907073.21669,6986.90707321669,225180.596337799,"Seychelles_Inner"
-6,-115000,"AP0000064",4686038156.05702,4686.03815605702,225180.596337799,"Seychelles_Inner"
0,-116000,"AP0000000",2589197681.53579,2589.19768153579,225180.596337799,"Seychelles_Inner"
3,-117000,"AP0000065",2053022445.04548,2053.02244504548,225180.596337799,"Seychelles_Inner"
5,-118000,"AP0000066",1807332885.06917,1807.33288506917,225180.596337799,"Seychelles_Inner"
7,-119000,"AP0000067",1626813874.37946,1626.81387437946,225180.596337799,"Seychelles_Inner"
9,-120000,"AP0000068",1473988398.79852,1473.98839879852,225180.596337799,"Seychelles_Inner"
